"hs2","hs4","hs"
"01","0101","010129"
"01","0103","010310"
"01","0106","010614"
"01","0106","010619"
"01","0106","010620"
"01","0106","010649"
"01","0106","010690"
"02","0201","020120"
"02","0201","020130"
"02","0202","020220"
"02","0202","020230"
"02","0203","020312"
"02","0203","020319"
"02","0203","020322"
"02","0203","020329"
"02","0204","020422"
"02","0204","020450"
"02","0206","020629"
"02","0206","020649"
"02","0207","020725"
"02","0207","020727"
"02","0209","020910"
"02","0210","021012"
"02","0210","021019"
"02","0210","021020"
"02","0210","021099"
"03","0301","030111"
"03","0301","030119"
"03","0302","030281"
"03","0303","030311"
"03","0303","030312"
"03","0303","030313"
"03","0303","030314"
"03","0303","030319"
"03","0303","030325"
"03","0303","030331"
"03","0303","030332"
"03","0303","030339"
"03","0303","030341"
"03","0303","030342"
"03","0303","030343"
"03","0303","030344"
"03","0303","030345"
"03","0303","030351"
"03","0303","030354"
"03","0303","030359"
"03","0303","030363"
"03","0303","030366"
"03","0303","030367"
"03","0303","030369"
"03","0303","030381"
"03","0303","030382"
"03","0303","030389"
"03","0303","030391"
"03","0303","030399"
"03","0304","030469"
"03","0304","030471"
"03","0304","030472"
"03","0304","030475"
"03","0304","030481"
"03","0304","030483"
"03","0304","030489"
"03","0304","030493"
"03","0304","030494"
"03","0304","030495"
"03","0304","030496"
"03","0304","030497"
"03","0304","030499"
"03","0305","030520"
"03","0305","030541"
"03","0306","030611"
"03","0306","030612"
"03","0306","030614"
"03","0306","030616"
"03","0306","030617"
"03","0306","030619"
"03","0306","030631"
"03","0306","030632"
"03","0306","030633"
"03","0306","030635"
"03","0306","030636"
"03","0306","030639"
"03","0306","030691"
"03","0307","030711"
"03","0307","030721"
"03","0307","030722"
"03","0307","030729"
"03","0307","030731"
"03","0307","030743"
"03","0307","030749"
"03","0307","030760"
"03","0307","030771"
"03","0307","030772"
"03","0307","030779"
"03","0307","030782"
"03","0307","030791"
"03","0308","030811"
"03","0308","030812"
"03","0308","030819"
"03","0308","030821"
"03","0308","030830"
"03","0308","030890"
"04","0401","040110"
"04","0401","040120"
"04","0401","040140"
"04","0401","040150"
"04","0402","040210"
"04","0402","040221"
"04","0402","040229"
"04","0402","040299"
"04","0403","040310"
"04","0403","040390"
"04","0404","040410"
"04","0404","040490"
"04","0405","040510"
"04","0405","040590"
"04","0406","040610"
"04","0406","040620"
"04","0406","040630"
"04","0406","040690"
"04","0408","040819"
"04","0409","040900"
"04","0410","041000"
"05","0504","050400"
"05","0505","050510"
"05","0505","050590"
"05","0508","050800"
"05","0511","051110"
"05","0511","051191"
"05","0511","051199"
"06","0601","060110"
"06","0601","060120"
"06","0602","060210"
"06","0602","060220"
"06","0602","060230"
"06","0602","060290"
"06","0603","060315"
"06","0603","060319"
"06","0603","060390"
"06","0604","060420"
"06","0604","060490"
"07","0701","070110"
"07","0703","070310"
"07","0703","070320"
"07","0704","070410"
"07","0704","070490"
"07","0705","070519"
"07","0706","070610"
